नाम,संचालन तारीख,संचालन विषय,जुड़ने की तारीख,जुड़ने का तरीका (क्रम संख्या),एनजीओ हस्ताक्षर
राहुल कुमार,26-03-2026,शिक्षा,26-03-2026,3,हस्ताक्षर
राहुल कुमार,13-02-2026,पोषण,13-02-2026,1,हस्ताक्षर
राहुल कुमार,08-02-2026,कौशल विकास,08-02-2026,3,हस्ताक्षर
प्रिया शर्मा,30-04-2026,कौशल विकास,30-04-2026,3,हस्ताक्षर
प्रिया शर्मा,14-02-2026,स्वास्थ्य,14-02-2026,2,हस्ताक्षर
प्रिया शर्मा,16-05-2026,स्वास्थ्य,16-05-2026,4,हस्ताक्षर
अमित वर्मा,01-01-2026,स्वास्थ्य,01-01-2026,4,हस्ताक्षर
अमित वर्मा,05-05-2026,कौशल विकास,05-05-2026,2,हस्ताक्षर
अमित वर्मा,06-01-2026,शिक्षा,06-01-2026,1,हस्ताक्षर
नेहा कुमारी,04-03-2026,कौशल विकास,04-03-2026,3,हस्ताक्षर
नेहा कुमारी,19-03-2026,पोषण,19-03-2026,4,हस्ताक्षर
नेहा कुमारी,25-05-2026,स्वास्थ्य,25-05-2026,4,हस्ताक्षर
संदीप सिंह,05-05-2026,कानूनी अधिकार,05-05-2026,2,हस्ताक्षर
संदीप सिंह,26-03-2026,कानूनी अधिकार,26-03-2026,2,हस्ताक्षर
संदीप सिंह,06-05-2026,पोषण,06-05-2026,1,हस्ताक्षर
कविता यादव,22-03-2026,पोषण,22-03-2026,3,हस्ताक्षर
कविता यादव,29-01-2026,कौशल विकास,29-01-2026,4,हस्ताक्षर
कविता यादव,01-05-2026,स्वास्थ्य,01-05-2026,4,हस्ताक्षर
विशाल चौहान,15-03-2026,स्वास्थ्य,15-03-2026,3,हस्ताक्षर
विशाल चौहान,06-04-2026,स्वास्थ्य,06-04-2026,2,हस्ताक्षर
विशाल चौहान,11-05-2026,स्वास्थ्य,11-05-2026,3,हस्ताक्षर
अंजलि गुप्ता,11-04-2026,कौशल विकास,11-04-2026,3,हस्ताक्षर
अंजलि गुप्ता,03-03-2026,शिक्षा,03-03-2026,4,हस्ताक्षर
अंजलि गुप्ता,16-03-2026,स्वास्थ्य,16-03-2026,3,हस्ताक्षर
रोहित दास,22-03-2026,पोषण,22-03-2026,4,हस्ताक्षर
रोहित दास,16-03-2026,कौशल विकास,16-03-2026,2,हस्ताक्षर
रोहित दास,20-04-2026,कानूनी अधिकार,20-04-2026,3,हस्ताक्षर
पूजा सिंह,29-05-2026,कानूनी अधिकार,29-05-2026,2,हस्ताक्षर
पूजा सिंह,13-05-2026,कानूनी अधिकार,13-05-2026,3,हस्ताक्षर
पूजा सिंह,04-01-2026,शिक्षा,04-01-2026,1,हस्ताक्षर
आर्यन खान,08-03-2026,पोषण,08-03-2026,4,हस्ताक्षर
आर्यन खान,05-03-2026,शिक्षा,05-03-2026,2,हस्ताक्षर
आर्यन खान,06-02-2026,शिक्षा,06-02-2026,1,हस्ताक्षर
सुमन कुमारी,30-04-2026,कानूनी अधिकार,30-04-2026,4,हस्ताक्षर
सुमन कुमारी,03-01-2026,शिक्षा,03-01-2026,2,हस्ताक्षर
सुमन कुमारी,19-05-2026,स्वास्थ्य,19-05-2026,4,हस्ताक्षर
विक्रम सिंह,11-05-2026,शिक्षा,11-05-2026,3,हस्ताक्षर
विक्रम सिंह,20-03-2026,स्वास्थ्य,20-03-2026,1,हस्ताक्षर
विक्रम सिंह,04-03-2026,कौशल विकास,04-03-2026,3,हस्ताक्षर
काजल वर्मा,01-02-2026,कौशल विकास,01-02-2026,1,हस्ताक्षर
काजल वर्मा,21-05-2026,स्वास्थ्य,21-05-2026,2,हस्ताक्षर
काजल वर्मा,23-01-2026,कानूनी अधिकार,23-01-2026,2,हस्ताक्षर
मनोज कुमार,05-04-2026,पोषण,05-04-2026,1,हस्ताक्षर
मनोज कुमार,22-02-2026,स्वास्थ्य,22-02-2026,3,हस्ताक्षर
मनोज कुमार,18-04-2026,कौशल विकास,18-04-2026,4,हस्ताक्षर
पिंकी यादव,08-01-2026,कानूनी अधिकार,08-01-2026,2,हस्ताक्षर
पिंकी यादव,19-02-2026,स्वास्थ्य,19-02-2026,1,हस्ताक्षर
पिंकी यादव,21-03-2026,स्वास्थ्य,21-03-2026,2,हस्ताक्षर
राकेश शर्मा,05-04-2026,कौशल विकास,05-04-2026,1,हस्ताक्षर
राकेश शर्मा,20-05-2026,कानूनी अधिकार,20-05-2026,1,हस्ताक्षर
राकेश शर्मा,11-04-2026,स्वास्थ्य,11-04-2026,2,हस्ताक्षर
सीमा कुमारी,28-03-2026,स्वास्थ्य,28-03-2026,2,हस्ताक्षर
सीमा कुमारी,20-05-2026,स्वास्थ्य,20-05-2026,3,हस्ताक्षर
सीमा कुमारी,17-05-2026,शिक्षा,17-05-2026,4,हस्ताक्षर
सुनील दास,25-02-2026,पोषण,25-02-2026,4,हस्ताक्षर
सुनील दास,29-05-2026,कानूनी अधिकार,29-05-2026,1,हस्ताक्षर
सुनील दास,31-03-2026,कानूनी अधिकार,31-03-2026,4,हस्ताक्षर
आशा सिंह,22-03-2026,कानूनी अधिकार,22-03-2026,1,हस्ताक्षर
आशा सिंह,07-03-2026,कौशल विकास,07-03-2026,2,हस्ताक्षर
आशा सिंह,15-01-2026,कानूनी अधिकार,15-01-2026,4,हस्ताक्षर
