नाम,जन्मतिथि/उम्र,लिंग,पहचान संख्या,पापा का नाम,माँ का नाम,माता-पिता की शादी की स्थिति,किसके साथ रहते हो,तुम्हारे घर में कितने भाई और बहन हैं,क्या आपके पास जन्म प्रमाण पत्र है,क्या आपके पास बैंक पासबुक है,क्या आपके पास जाति प्रमाण पत्र है,क्या आपके पास आधार कार्ड है,क्या आपको कोई शारीरिक या मानसिक परेशानी / दिव्यांगता है,"अगर हाँ, तो आपको किस प्रकार की दिव्यांगता है",क्या आपके पास दिव्यांगता कार्ड है,क्या आपको कोई बड़ी बीमारी है,"अगर हाँ, तो क्या समस्या है",क्या आपके पास राशन कार्ड है,"अगर हां, तो श्रेणी बताएं",ज़िला,प्रखंड / ब्लॉक,ग्राम पंचायत/वार्ड संख्या,गांव / शहर,पता,फ़ोन नंबर,दूसरा संपर्क नंबर,क्या आपने स्कूल में एडमिशन लिया है,"अगर हाँ, तो स्कूल का नाम और कक्षा","अगर नहीं, तो क्यों",क्या आप किसी प्रकार का काम करते हैं,कोई कमाई का जरिया,क्या आपके पास स्वास्थ्य बीमा कार्ड है
राहुल कुमार,14 वर्ष,पुरुष,ID-1000,पापा-7,माँ-82,अकेली माँ,माता-पिता,5,हाँ,हाँ,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,नहीं,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-12,गांव-एक्स,पता-1,9273337618,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
प्रिया शर्मा,12 वर्ष,महिला,ID-1001,पापा-55,माँ-1,अकेले पिता,माता-पिता,0,हाँ,नहीं,हाँ,हाँ,नहीं,NA,नहीं,नहीं,NA,नहीं,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-6,गांव-एक्स,पता-2,9508639774,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
अमित वर्मा,15 वर्ष,पुरुष,ID-1002,पापा-17,माँ-99,माता और पिता दोनों,माता-पिता,2,हाँ,नहीं,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-3,गांव-एक्स,पता-3,9670830666,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
नेहा कुमारी,14 वर्ष,महिला,ID-1003,पापा-70,माँ-28,माता और पिता दोनों,माता-पिता,3,नहीं,नहीं,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-10,गांव-एक्स,पता-4,9737149951,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
संदीप सिंह,14 वर्ष,महिला,ID-1004,पापा-47,माँ-76,अकेले पिता,माता-पिता,5,हाँ,हाँ,हाँ,हाँ,नहीं,NA,नहीं,नहीं,NA,नहीं,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-9,गांव-एक्स,पता-5,9834880610,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
कविता यादव,12 वर्ष,महिला,ID-1005,पापा-34,माँ-97,अकेले पिता,माता-पिता,3,हाँ,नहीं,नहीं,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-18,गांव-एक्स,पता-6,9472004023,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
विशाल चौहान,17 वर्ष,पुरुष,ID-1006,पापा-7,माँ-59,माता और पिता दोनों,माता-पिता,1,हाँ,हाँ,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,नहीं,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-5,गांव-एक्स,पता-7,9283317045,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
अंजलि गुप्ता,12 वर्ष,पुरुष,ID-1007,पापा-78,माँ-94,माता और पिता दोनों,माता-पिता,5,हाँ,हाँ,नहीं,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-6,गांव-एक्स,पता-8,9669441307,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
रोहित दास,17 वर्ष,महिला,ID-1008,पापा-31,माँ-38,अकेले पिता,माता-पिता,5,नहीं,हाँ,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-20,गांव-एक्स,पता-9,9742863437,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
पूजा सिंह,14 वर्ष,महिला,ID-1009,पापा-30,माँ-95,माता और पिता दोनों,माता-पिता,0,हाँ,नहीं,नहीं,हाँ,हाँ,NA,नहीं,नहीं,NA,नहीं,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-11,गांव-एक्स,पता-10,9700219487,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
